,feature_importance
Perovskite_deposition_thermal_annealing_time_0.0,0.00035933186990246273
Backcontact_deposition_procedure_Evaporation__3,0.00035818494658049985
Perovskite_deposition_thermal_annealing_time_Unknown_60.0,0.0003575278734110693
ETL_additives_compounds_TiCl4__2,0.0003572993297500119
Substrate_stack_sequence_Au,0.00035413918093946643
HTL_deposition_procedure_RF_sputtering__1,0.00034821897916690437
Perovskite_additives_concentrations_0.02,0.0003469984724569818
Perovskite_deposition_procedure_Spray-coating__1,0.0003461141938684863
HTL_stack_sequence_Y3,0.0003429460036944443
Perovskite_deposition_solvents_DMSO_DMF;_DMSO,0.00034238991088416423
Perovskite_deposition_thermal_annealing_temperature_70.0_Unknown,0.00034170171122047604
ETL_additives_compounds_TiCl4__3,0.0003416316467579148
HTL_stack_sequence_P3,0.00034161789698597113
Perovskite_deposition_thermal_annealing_temperature_65;_100,0.000340554382094075
Encapsulation_stack_sequence_Unknown,0.00033532200769331277
Perovskite_pl_max_763.0,0.00033426675029722935
Perovskite_band_gap_1.65,0.000334251475532119
Perovskite_deposition_procedure_Unknown,0.00033345206906789136
Perovskite_additives_concentrations_3_mg/ml,0.0003332439937526148
Perovskite_composition_perovskite_ABC3_structure_True,0.00033166874585542616
Perovskite_deposition_solvents_mixing_ratios_9;_1_1,0.0003304160226093507
avg_Atomic_Radius,0.0003304017004607214
HTL_additives_compounds_FK102;_Li-TFSI;_TBP__1,0.0003294848079780967
Perovskite_deposition_solvents_mixing_ratios_3;_2;_6,0.0003258532695138819
Backcontact_deposition_procedure_E-beam_evaporation__2,0.00032577936506986155
ETL_stack_sequence_NBA-SAM,0.00032028695892019
Perovskite_deposition_thermal_annealing_time_9.0,0.0003193413696475935
ETL_stack_sequence_ZrO2-mp,0.00031711217464087585
ETL_stack_sequence_TiO2-mp__1,0.0003170926451133454
Perovskite_deposition_solvents_mixing_ratios_2.3;_1,0.000313286625705437
ETL_additives_compounds_Unknown,0.00031296767055559324
Perovskite_deposition_thermal_annealing_temperature_25.0__1,0.00031186457378427093
Perovskite_deposition_thermal_annealing_time_Unknown_15.0,0.0003113847701345644
Perovskite_pl_max_781.0,0.00031087618095286567
avg_valence_d,0.0003104125459498658
Backcontact_stack_sequence_FTO,0.0003095717195055619
avg_Period,0.0003085974541469282
Perovskite_composition_b_ions_Pb,0.0003081628747601891
HTL_stack_sequence_PEDOT:PSS__2,0.00030748560843618563
Perovskite_deposition_thermal_annealing_time_Unknown_3.0,0.0003057532292591334
ETL_deposition_procedure_Dipp-coating__2,0.00030483905861275495
Perovskite_additives_compounds_Bi,0.0003036575208951651
Perovskite_pl_max_767.0,0.00030263333019014016
Perovskite_deposition_thermal_annealing_temperature_200.0,0.0003022305347089075
Perovskite_band_gap_1.57,0.00030218705356810913
Perovskite_pl_max_785.0,0.0003017233638530782
Backcontact_stack_sequence_Au__3,0.00030113700653014046
Perovskite_pl_max_778.0,0.0003009454550016129
dev_valence_s,0.0003005685338072536
dev_valence_d,0.00029998692478288934
ETL_stack_sequence_Fullerene-2c,0.00029902453639704755
ETL_stack_sequence_1-ethyl-3-methylimidazolium_iodide__1,0.000298183894623982
HTL_stack_sequence_PPyra-ACD,0.00029760280037173227
Perovskite_deposition_thermal_annealing_temperature_105,0.00029317415075932884
Perovskite_pl_max_810.0,0.00029301522097595025
HTL_stack_sequence_P1,0.00029231707395462465
ETL_additives_compounds_Undoped__2,0.00028894351089968383
avg_number_of_valence_electrons,0.0002879272559101306
HTL_stack_sequence_X59,0.00028721226645034363
Encapsulation_edge_sealing_materials_Unknown,0.00028702913802851083
