Perovskite_composition_long_form,Perovskite_band_gap,formula
CsSnBr3,1.8,
CsSnBrI2,1.37,
CsSnI3,1.3,
EA0.1MA0.9PbI3,1.59,
EA0.2MA0.8PbI3,1.59,
EA0.3MA0.7PbI3,1.59,
EA0.4MA0.6PbI3,1.59,
EA0.5MA0.5PbBr3,2.38,
EA0.5MA0.5PbI3,1.59,
EDA0.01FA0.99SnI3,1.37,
FA0.026MA0.974PbI3,1.516,
FA0.02MA0.98PbI3,1.51,
FA0.05MA0.95PbI3,1.5,
FA0.125MA0.875PbBrI2,1.71,
FA0.125MA0.875PbI3,1.55,
FA0.15MA0.85PbBr0.45I2.55,1.53,
FA0.15MA0.85PbI3,1.63,
FA0.17MA0.83PbBr0.5I2.5,1.625,
FA0.17MA0.83PbBr1.5I1.5,1.858,
FA0.17MA0.83PbBr2.5I0.5,2.153,
FA0.17MA0.83PbBr2I,1.989,
FA0.17MA0.83PbBr3,2.296,
FA0.17MA0.83PbBrI2,1.764,
FA0.17MA0.83PbI3,1.588,
FA0.1MA0.9Pb0.9Sn0.1I3,1.44,
FA0.1MA0.9PbBr0.3I2.9,1.58,
FA0.1MA0.9PbBr2.7I0.3,2.14,
FA0.1MA0.9PbI3,1.51,
FA0.25MA0.75Pb0.75Sn0.25I3,1.33,
FA0.25MA0.75PbI3,1.54,
FA0.25MA0.75SnI3,1.28,
FA0.2MA0.8PbBr0.3I2.9,1.59,
FA0.2MA0.8PbI3,1.5,
FA0.33MA0.66Pb0.66Sn0.33I3,1.3,
FA0.33PbBr0.5I2.5,1.671,
FA0.33PbBr1.5I1.5,1.855,
FA0.33PbBr2.5I0.5,2.139,
FA0.33PbBr2I,1.974,
FA0.33PbBr3,2.288,
FA0.33PbBrI2,1.757,
FA0.33PbI3,1.56,
FA0.3MA0.7Pb1.0I3,1.55,
FA0.3MA0.7PbBr0.15I2.85,1.6,
FA0.3MA0.7PbBr0.3I2.7,1.59,
FA0.3MA0.7PbBr0.3I2.9,1.58,
FA0.3MA0.7PbBr0.45I2.55,1.66,
FA0.3MA0.7PbBr0.6I2.4,1.69,
FA0.3MA0.7PbBr2.1I0.9,2.03,
FA0.3MA0.7PbI3,1.57,
FA0.44MA0.56PbBr0.33I2.67,1.62,
FA0.48MA0.52PbI3,1.62,
FA0.4MA0.6PbBr0.025I2.975,1.6,
FA0.4MA0.6PbBr0.1I2.9,1.56,
FA0.4MA0.6PbBr0.2I2.8,1.58,
FA0.4MA0.6PbBr0.6I2.4,1.68,
FA0.4MA0.6PbI3,1.54,
FA0.5MA0.5Pb0.5Sn0.5I3,1.25,
FA0.5MA0.5Pb0.75Sn0.25I3,1.33,
FA0.5MA0.5PbBr0.5I2.5,1.612,
FA0.5MA0.5PbBr1.5I1.5,1.82,
FA0.5MA0.5PbBr2.5I0.5,2.141,
FA0.5MA0.5PbBr2I,1.957,
FA0.5MA0.5PbBr3,2.28,
FA0.5MA0.5PbBrI2,1.751,
FA0.5MA0.5PbI3,1.6,
FA0.5MA0.5SnI3,1.38,
FA0.65K0.2MA0.15PbBr0.55I2.55,1.59,
FA0.65MA0.35PbI3,1.52,
FA0.66MA0.34PbBr0.42I2.58,1.62,
FA0.66MA0.34PbI3,1.533,
FA0.67MA0.33PbBr0.5I2.5,1.638,
FA0.67MA0.33PbBr1.5I1.5,1.848,
FA0.67MA0.33PbBr2.5I0.5,2.115,
FA0.67MA0.33PbBr2I,1.969,
FA0.67MA0.33PbBr3,2.28,
FA0.67MA0.33PbBrI2,1.682,
FA0.67MA0.33PbI3,1.528,
FA0.6MA0.4Pb0.4Sn0.6Br0.12I2.88,1.26,
FA0.6MA0.4Pb0.4Sn0.6Br0.18I2.82,1.272,
FA0.6MA0.4Pb0.4Sn0.6Br0.24I2.76,1.28,
FA0.6MA0.4Pb0.4Sn0.6Br0.3I2.7,1.33,
FA0.6MA0.4Pb0.4Sn0.6Br0.48I2.52,1.32,
FA0.6MA0.4Pb0.4Sn0.6I3,1.25,
FA0.6MA0.4Pb0.6Sn0.6I3,1.25,
FA0.6MA0.4PbBr0.095I0.905,1.64,
FA0.6MA0.4PbBr0.256I0.744,1.72,
FA0.6MA0.4PbBr0.4I2.6,1.58,
FA0.6MA0.4PbI3,1.54,
FA0.6MA0.4PbSn0.6I0.4,1.25,
FA0.6MA0.4Sn0.6I3,1.25,
